id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
881264218490617506,Rental unit in Setcases · ★5.0 · 2 bedrooms · 5 beds · 1 bath,512520301,Jordi,,Setcases,42.37806,2.303,Entire home/apt,93,2,4,2023-12-10,0.88,1,364,4,HUTG-069573
883299739614709618,Cabin in Sant Jaume de Llierca · ★5.0 · 1 bedroom · 2 beds · 1 bath,202489853,Olga,,Tortellà,42.23427,2.62875,Entire home/apt,95,1,33,2023-12-24,4.90,1,302,33,Exempt
887434741858817137,Rental unit in Cabanes · ★4.90 · 1 bedroom · 2 beds · 1.5 baths,379826121,Sophie,,Cabanes,42.30594,2.97794,Entire home/apt,84,4,21,2023-10-01,2.83,1,169,21,HUTG-073580
883327990115048771,Rental unit in Figueres · ★4.40 · 3 bedrooms · 4 beds · 1 bath,512987461,Juan Antonio,,Figueres,42.268948,2.9580471,Entire home/apt,65,1,5,2023-12-10,0.97,1,330,5,HUTG-068222
883740763424864652,Home in Calonge · 4 bedrooms · 4 beds · 3 baths,13328366,Angel,,Calonge,41.84164,3.06816,Entire home/apt,708,4,0,,,14,150,0,HUTG-056057
881550216705425112,Guesthouse in Lloret de Mar · 3 bedrooms · 5 beds · 1 bath,467580991,Mario,,Lloret de Mar,41.73984095823102,2.8326944103657983,Entire home/apt,172,2,1,2023-07-16,0.18,1,252,1,LLG-041423
887439712590731704,Home in Roses · 2 bedrooms · 2 beds · 1 bath,107252451,Cristina - Interhome Group,,Roses,42.249975,3.193624,Entire home/apt,196,1,1,2023-09-01,0.25,169,85,1,HUTG-010246
887452135434206144,Rental unit in Lloret de Mar · 2 bedrooms · 2 beds · 1 bath,82852705,Roger - Hauzify,,Lloret de Mar,41.7007591,2.85351,Entire home/apt,303,1,2,2023-08-13,0.42,55,364,2,HUTG-003852
883780709960496724,Home in Palafrugell · 3 bedrooms · 3 beds · 2 baths,129363177,Valerie,,Palafrugell,41.92588,3.21026,Entire home/apt,520,6,1,2023-08-12,0.21,33,85,1,HUTG-069198
887461216635341615,Home in L'Escala · ★4.67 · 3 bedrooms · 4 beds · 1 bath,117751526,SolHome,,L'Escala,42.111042,3.146998,Entire home/apt,77,1,6,2023-10-31,1.09,26,364,6,HUTG-043777
883821478203373234,Rental unit in Empuriabrava · ★4.44 · 1 bedroom · 1 bed · 1 bath,40612399,Costa Brava Rent,,Castelló d'Empúries,42.23765,3.12565,Entire home/apt,70,2,16,2023-12-29,2.22,4,258,16,HUTG039740
883824164615463695,Rental unit in Tossa de Mar · 3 bedrooms · 4 beds · 2 baths,251976436,Anna Margarita,,Tossa de Mar,41.71628,2.900638,Entire home/apt,129,2,0,,,20,220,0,HUTG-006233
881589964783411344,Rental unit in Palafrugell · ★5.0 · 2 bedrooms · 4 beds · 1 bath,15392124,Oriol,,Palafrugell,41.91271,3.20624,Entire home/apt,130,2,21,2023-12-10,2.90,1,0,21,HUTG-067772
881594186717908358,Farm stay in Girona · 5 bedrooms · 1 bed · 4 baths,26911838,Maria,,Brunyola,41.88379,2.70314,Entire home/apt,970,1,0,,,3,361,0,HUTG-020650
887464986878655174,Rental unit in Platja d'Aro · 3 bedrooms · 5 beds · 2 baths,491503593,Administracions Saturno,,Castell-Platja d'Aro,41.8106125,3.0656573,Entire home/apt,71,7,0,,,23,170,0,HUTG-011507
883892341886867306,Home in Llançà · 4 bedrooms · 4 beds · 2.5 baths,113356954,Company Turístic,,Llançà,42.38339,3.1547,Entire home/apt,,1,0,,,31,0,0,HUTG-069928
883932368447677458,Rental unit in Palafrugell · 3 bedrooms · 4 beds · 2 baths,247577905,Finques Frigola S.L.,,Palafrugell,41.888627,3.18317,Entire home/apt,136,1,0,,,15,287,0,HUTG-010717
887471347411079354,Home in Girona · 4 bedrooms · 4 beds · 5.5 baths,155199490,Lyalya,,Palafrugell,41.92437,3.20993,Entire home/apt,,7,0,,,1,147,0,HUTG-049689
884492772204313338,Condo in Palamós · 3 bedrooms · 5 beds · 2 baths,78065263,Integral,,Palamós,41.8523799,3.14013,Entire home/apt,173,2,0,,,48,281,0,HUTG-069081
884526734138112774,casa particular in Santa Cristina d'Aro · 4 bedrooms · 5 beds · 2 baths,237604984,Ivette,,Santa Cristina d'Aro,41.81744,3.00271,Entire home/apt,226,2,0,,,1,325,0,HUTB-069037
881605103894891118,Rental unit in Lloret de Mar · 1 bedroom · 2 beds · 1 bath,512581104,Hector,,Lloret de Mar,41.70032,2.83396,Entire home/apt,57,15,0,,,1,259,0,Exempt
881658813804942506,Rental unit in Roses · 2 bedrooms · 3 beds · 1 bath,74468219,Omar,,Roses,42.26779495968204,3.1391378497375655,Entire home/apt,99,7,1,2023-08-26,0.24,1,287,1,HUTG-037189
887489744730443139,Rental unit in Blanes · 3 bedrooms · 7 beds · 1 bath,43247991,Gladys,,Blanes,41.67893,2.78728,Entire home/apt,300,3,0,,,2,201,0,HUTG-065135
